iter	RMSE
581	151841.1592
582	151587.269
583	151479.9408
584	151327.2044
585	151274.3414
586	151186.0104
587	151074.0163
588	150979.9756
589	150841.5465
590	150776.5228
591	150574.7203
592	150471.997
593	150289.7964
594	149979.7768
595	149761.9035
596	149656.4607
597	149561.0074
598	149473.9991
599	149412.9791
600	149237.0956
601	149221.6311
602	149048.7563
603	149027.4324
604	148889.9702
605	148799.486
606	148718.8401
607	148562.0272
608	148397.1935
609	148206.0163
610	148169.1728
611	147969.3377
612	147782.7723
613	147674.1737
614	147506.095
615	147486.5692
616	147211.1138
617	147099.5117
618	146965.7382
619	146870.8877
620	146757.0733
621	146579.2246
622	146434.9829
623	146282.9873
624	146112.6449
625	145966.6069
626	145915.4271
627	145885.6483
628	145740.8819
629	145631.33
630	145561.8596
631	145545.8025
632	145490.1441
633	145293.9527
634	145142.2188
635	145068.7805
636	144912.3867
637	144853.216
638	144837.2395
639	144735.0466
640	144661.3175
641	144526.3804
642	144337.0611
643	144182.1911
644	143955.0486
645	143823.4525
646	143720.2296
647	143486.1953
648	143426.6426
649	143294.9021
650	143090.3951
651	143036.0023
652	142872.0734
653	142796.3475
654	142679.6361
655	142574.5691
656	142447.6609
657	142305.5341
658	142227.5189
659	142048.9907
660	141897.4173
661	141753.3869
662	141556.8451
663	141446.316
664	141344.757
665	141208.1719
666	141071.5023
667	140971.3873
668	140923.0953
669	140804.3979
670	140638.9255
671	140484.7584
672	140377.4606
673	140254.1448
674	140143.1912
675	140037.6339
676	139915.2091
677	139842.815
678	139654.6604
679	139603.8043
680	139496.9448
681	139430.4061
682	139286.1357
683	139183.2735
684	139125.9951
685	139071.9988
686	138921.8805
687	138774.4039
688	138719.8309
689	138637.6659
690	138522.4221
691	138377.9832
692	138293.6114
693	138159.5208
694	138115.8073
695	138064.8863
696	137963.7175
697	137872.437
698	137731.4236
699	137671.3357
700	137497.6471
701	137352.0163
702	137191.1804
703	137076.3121
704	136933.8708
705	136876.8605
706	136761.1426
707	136656.3296
708	136511.8851
709	136424.1288
710	136295.0021
711	136182.7269
712	136104.2591
713	136042.1142
714	135987.0384
715	135890.8527
716	135814.0009
717	135695.1473
718	135562.804
719	135524.5029
720	135442.1479
721	135297.3136
722	135214.7206
723	135143.9758
724	135097.1579
725	135044.557
726	134946.0387
727	134779.5048
728	134729.5427
729	134639.584
730	134567.803
731	134503.1855
732	134360.8322
733	134193.5649
734	134069.2952
735	133978.1849
736	133889.0521
737	133861.2456
738	133798.3098
739	133681.8808
740	133558.546
741	133488.2733
742	133418.8238
743	133319.2339
744	133265.974
745	133207.508
746	133135.7674
747	133013.0875
748	132918.9263
749	132808.7695
750	132702.2878
751	132592.9116
752	132495.0678
753	132436.9358
754	132403.6708
755	132273.7361
756	132146.7537
757	132076.1682
758	132019.8624
759	131905.4361
760	131743.1535
761	131674.5976
762	131562.4657
763	131459.4784
764	131342.8255
765	131203.2197
766	131113.7379
767	130975.3387
768	130895.0655
769	130789.7144
770	130684.2919
771	130583.7697
772	130540.2862
773	130477.53
774	130358.2928
775	130322.0986
776	130260.3435
777	130232.2462
778	130176.4721
779	130071.6688
780	130004.0572
781	129873.871
782	129774.5803
783	129712.6264
784	129588.0233
785	129556.7543
786	129485.7511
787	129430.475
788	129364.2912
789	129301.1429
790	129258.1438
791	129201.6562
792	129152.0848
793	129027.5267
794	128940.9409
795	128822.8767
796	128712.4061
797	128617.8666
798	128564.0313
799	128534.4552
800	128451.4149
801	128412.5478
802	128320.5402
803	128247.3719
804	128126.4438
805	128026.0739
806	127950.8424
807	127854.1663
808	127808.6762
809	127724.3421
810	127688.1716
811	127640.0792
812	127517.2946
813	127425.2444
814	127338.1935
815	127262.0075
816	127148.3014
817	127112.9235
818	127039.5945
819	126985.9363
820	126935.0258
821	126891.3688
822	126798.9789
823	126693.7525
824	126611.0431
825	126502.2315
826	126398.1486
827	126294.7526
828	126261.4306
829	126164.5312
830	126071.9636
831	126024.0944
832	125990.554
833	125960.5244
834	125887.717
835	125840.8461
836	125801.0775
837	125733.3574
838	125686.651
839	125612.7936
840	125516.8838
841	125478.2189
842	125401.8121
843	125324.6032
844	125237.3738
845	125210.9211
846	125186.6661
847	125112.1632
848	125086.7935
849	124992.1389
850	124871.6693
851	124840.7422
852	124728.2998
853	124668.6263
854	124625.9515
855	124574.5922
856	124484.5646
857	124378.3901
858	124345.3249
859	124291.2886
860	124194.4528
861	124152.7377
862	124129.1121
863	124052.6819
864	123981.5309
865	123899.4762
866	123830.5352
867	123780.7508
868	123750.1388
869	123704.7011
870	123683.5411
871	123594.92
872	123510.6766
873	123426.9221
874	123368.3404
875	123315.5511
876	123230.9071
877	123149.7913
878	123057.5073
879	122969.1305
880	122902.8691
881	122861.5428
882	122809.3166
883	122706.2245
884	122647.9991
885	122571.8712
886	122513.2992
887	122471.4953
888	122421.5589
889	122391.3704
890	122323.7244
891	122174.5698
892	122129.1616
893	122078.4885
894	122042.5913
895	121971.9589
896	121902.5892
897	121805.8251
898	121707.9425
899	121631.6485
900	121572.0241
901	121473.2584
902	121379.7102
903	121336.0209
904	121272.7301
905	121203.6783
906	121129.9178
907	121049.2519
908	120996.8395
909	120977.2134
910	120901.3482
911	120793.2496
912	120686.0226
913	120600.1049
914	120549.6602
915	120431.9085
916	120381.7973
917	120295.1707
918	120241.3681
919	120116.9691
920	120056.8241
921	119962.6674
922	119900.0862
923	119833.8408
924	119787.5238
925	119700.5989
926	119595.6282
927	119538.3746
928	119462.3088
929	119396.1998
930	119307.8885
931	119238.175
932	119169.7948
933	119087.5972
934	119024.6102
935	118988.3469
936	118903.0634
937	118859.9254
938	118815.6719
939	118776.5776
940	118716.3089
941	118670.8066
942	118607.0827
943	118501.4616
944	118431.008
945	118328.2409
946	118284.6266
947	118245.4991
948	118199.9814
949	118182.7281
950	118113.4644
951	118021.0337
952	117967.5709
953	117869.2749
954	117819.3432
955	117754.2775
956	117690.0551
957	117650.5246
958	117615.2731
959	117553.3978
960	117459.1683
961	117407.8391
962	117333.8083
963	117277.6829
964	117240.5225
965	117195.0496
966	117121.3632
967	117070.2399
968	117046.2917
969	116996.8217
970	116934.3015
971	116884.9347
972	116782.2751
973	116709.3667
974	116596.007
975	116525.6953
976	116496.189
977	116422.0812
978	116351.9469
979	116304.188
980	116262.6195
981	116226.2882
982	116184.2216
983	116114.1991
984	116061.4919
985	116011.6387
986	115981.1114
987	115925.3153
988	115879.5161
989	115832.6271
990	115764.5786
991	115743.8363
992	115668.7087
993	115638.1384
994	115593.8434
995	115561.5735
996	115526.1462
997	115483.3648
998	115454.7273
999	115420.3825
